Date,Open,High,Low,Close*,Adj Close**,Volume
7/12/2022,3933.28,3957.57,3922.68,3933.92,3933.92,4118050000
8/12/2022,3947.79,3974.19,3935.83,3963.51,3963.51,4006900000
9/12/2022,3954.17,3977.02,3933.04,3934.38,3934.38,3888260000
12/12/2022,3939.29,3990.71,3935.3,3990.56,3990.56,3904130000
13/12/2022,4069.38,4100.96,3993.03,4019.65,4019.65,5079360000
14/12/2022,4015.54,4053.76,3965.65,3995.32,3995.32,4472340000
15/12/2022,3958.37,3958.37,3879.45,3895.75,3895.75,4493900000
16/12/2022,3890.91,3890.91,3827.91,3852.36,3852.36,7493660000
19/12/2022,3853.79,3854.86,3800.04,3817.66,3817.66,3969610000
20/12/2022,3810.47,3838.24,3795.62,3821.62,3821.62,3985370000
21/12/2022,3839.49,3889.82,3839.49,3878.44,3878.44,3775200000
22/12/2022,3853.26,3853.26,3764.49,3822.39,3822.39,3956950000
23/12/2022,3815.11,3845.8,3797.01,3844.82,3844.82,2819280000
27/12/2022,3843.34,3846.65,3813.22,3829.25,3829.25,3030300000
28/12/2022,3829.56,3848.32,3780.78,3783.22,3783.22,3083520000
29/12/2022,3805.45,3858.19,3805.45,3849.28,3849.28,3003680000
30/12/2022,3829.06,3839.85,3800.34,3839.5,3839.5,2979870000
3/1/2023,3853.29,3878.46,3794.33,3824.14,3824.14,3959140000
4/1/2023,3840.36,3873.16,3815.77,3852.97,3852.97,4414080000
5/1/2023,3839.74,3839.74,3802.42,3808.1,3808.1,3893450000
6/1/2023,3823.37,3906.19,3809.56,3895.08,3895.08,3923560000
9/1/2023,3910.82,3950.57,3890.42,3892.09,3892.09,4311770000
10/1/2023,3888.57,3919.83,3877.29,3919.25,3919.25,3851030000
11/1/2023,3932.35,3970.07,3928.54,3969.61,3969.61,4303360000
12/1/2023,3977.57,3997.76,3937.56,3983.17,3983.17,4440260000
13/1/2023,3960.6,4003.95,3947.67,3999.09,3999.09,3939700000
17/1/2023,3999.28,4015.39,3984.57,3990.97,3990.97,4235560000
18/1/2023,4002.25,4014.16,3926.59,3928.86,3928.86,4298710000
19/1/2023,3911.84,3922.94,3885.54,3898.85,3898.85,3991500000
20/1/2023,3909.04,3972.96,3897.86,3972.61,3972.61,4013360000
23/1/2023,3978.14,4039.31,3971.64,4019.81,4019.81,3945210000
24/1/2023,4001.74,4023.92,3989.79,4016.95,4016.95,3320430000
25/1/2023,3982.71,4019.55,3949.06,4016.22,4016.22,3724020000
26/1/2023,4036.08,4061.57,4013.29,4060.43,4060.43,3809590000
27/1/2023,4053.72,4094.21,4048.7,4070.56,4070.56,3907760000
30/1/2023,4049.27,4063.85,4015.55,4017.77,4017.77,3802000000
31/1/2023,4020.85,4077.16,4020.44,4076.6,4076.6,4679320000
1/2/2023,4070.07,4148.95,4037.2,4119.21,4119.21,4856930000
2/2/2023,4158.68,4195.44,4141.88,4179.76,4179.76,5624360000
3/2/2023,4136.69,4182.36,4123.36,4136.48,4136.48,4694510000
6/2/2023,4119.57,4124.63,4093.38,4111.08,4111.08,4114240000
7/2/2023,4105.35,4176.54,4088.39,4164,4164,4355860000
8/2/2023,4153.47,4156.85,4111.67,4117.86,4117.86,4029820000
9/2/2023,4144.25,4156.23,4069.67,4081.5,4081.5,4270200000
10/2/2023,4068.92,4094.36,4060.79,4090.46,4090.46,3891520000
13/2/2023,4096.62,4138.9,4092.67,4137.29,4137.29,3448620000
14/2/2023,4126.7,4159.77,4095.01,4136.13,4136.13,3929200000
15/2/2023,4119.5,4148.11,4103.98,4147.6,4147.6,4075980000
16/2/2023,4114.75,4136.54,4089.49,4090.41,4090.41,4143660000
17/2/2023,4077.39,4081.51,4047.95,4079.09,4079.09,4045480000
21/2/2023,4052.35,4052.35,3995.19,3997.34,3997.34,4121590000
22/2/2023,4001.83,4017.37,3976.9,3991.05,3991.05,4079320000
23/2/2023,4018.6,4028.3,3969.19,4012.32,4012.32,3952940000
24/2/2023,3973.24,3978.25,3943.08,3970.04,3970.04,3877700000
27/2/2023,3992.36,4018.05,3973.55,3982.24,3982.24,3836950000
28/2/2023,3977.19,3997.5,3968.98,3970.15,3970.15,5043400000
1/3/2023,3963.34,3971.73,3939.05,3951.39,3951.39,4249480000
2/3/2023,3938.68,3990.84,3928.16,3981.35,3981.35,4244900000
3/3/2023,3998.02,4048.29,3995.17,4045.64,4045.64,4084730000
6/3/2023,4055.15,4078.49,4044.61,4048.42,4048.42,4000870000
7/3/2023,4048.26,4050,3980.31,3986.37,3986.37,3922500000
8/3/2023,3987.55,4000.41,3969.76,3992.01,3992.01,3535570000
9/3/2023,3998.66,4017.81,3908.7,3918.32,3918.32,4445260000
10/3/2023,3912.77,3934.05,3846.32,3861.59,3861.59,5518190000
13/3/2023,3835.12,3905.05,3808.86,3855.76,3855.76,6558020000
14/3/2023,3894.01,3937.29,3873.63,3919.29,3919.29,5665870000
15/3/2023,3876.74,3894.26,3838.24,3891.93,3891.93,6594010000
16/3/2023,3878.93,3964.46,3864.11,3960.28,3960.28,5695790000
17/3/2023,3958.69,3958.91,3901.27,3916.64,3916.64,9354280000
20/3/2023,3917.47,3956.62,3916.89,3951.57,3951.57,5347140000
21/3/2023,3975.89,4009.08,3971.19,4002.87,4002.87,4920240000
22/3/2023,4002.04,4039.49,3936.17,3936.97,3936.97,4533010000
23/3/2023,3959.21,4007.66,3919.05,3948.72,3948.72,4991600000
24/3/2023,3939.21,3972.74,3909.16,3970.99,3970.99,4583970000
27/3/2023,3982.93,4003.83,3970.49,3977.53,3977.53,4233540000
28/3/2023,3974.13,3979.2,3951.53,3971.27,3971.27,4014600000
29/3/2023,3999.53,4030.59,3999.53,4027.81,4027.81,4145250000
30/3/2023,4046.74,4057.85,4032.1,4050.83,4050.83,3930860000
31/3/2023,4056.18,4110.75,4056.18,4109.31,4109.31,4525120000
3/4/2023,4102.2,4127.66,4098.79,4124.51,4124.51,4234700000
4/4/2023,4128.03,4133.13,4086.87,4100.6,4100.6,4227800000
5/4/2023,4094.5,4099.69,4072.56,4090.38,4090.38,3968020000
